method,manifest,lm_model_path,beam_width,temperature,alpha,beta,wer,cer
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.1,0.5,0.10975311659740894,0.03740128869725304
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.05,0.5,0.10999755560987534,0.037449735962404924
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.5,1.5,0.10999755560987534,0.037449735962404924
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.01,0.5,0.11024199462234173,0.037546630492708684
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.05,0.0,0.11024199462234173,0.037740419553316217
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.1,1.0,0.11048643363480812,0.037498183227556804
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.5,1.0,0.1107308726472745,0.037498183227556804
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.01,0.0,0.1107308726472745,0.03769197228816433
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.1,0.0,0.1107308726472745,0.03783731408361998
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,1.0,1.5,0.1109753116597409,0.03798265587907563
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.5,0.5,0.11146418968467367,0.03798265587907563
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.01,1.0,0.11195306770960645,0.037788866818468096
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.05,1.0,0.11219750672207285,0.037740419553316217
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.01,1.5,0.1131752627719384,0.03798265587907563
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.05,1.5,0.1131752627719384,0.03798265587907563
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.1,1.5,0.1131752627719384,0.03798265587907563
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,0.5,0.0,0.11439745783427036,0.03837023400029068
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,1.0,1.0,0.11488633585920313,0.03861247032605009
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,1.0,0.5,0.11879736005866537,0.039193837507872684
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,1.0,0.0,0.11904179907113176,0.039532968363935855
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,2.0,1.5,0.164996333414813,0.0483988178867303
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,2.0,1.0,0.1913957467611831,0.05411559517465239
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,2.0,0.5,0.217061843070154,0.05920255801560002
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,2.0,0.0,0.2637496944512344,0.06869822198536893
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,5.0,0.0,0.9997555609875336,0.2247953103047333
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,5.0,0.5,0.9997555609875336,0.2247953103047333
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,5.0,1.0,0.9997555609875336,0.2247953103047333
beam_lm,data/librispeech_test_other/manifest.csv,lm/3-gram.pruned.1e-7.arpa.gz,10,1.0,5.0,1.5,0.9997555609875336,0.2247953103047333
