method,manifest,lm_model_path,beam_width,temperature,alpha,beta,wer,cer
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,1.5,0.5123493975903615,0.2583801903114187
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,0.0,0.5180722891566265,0.2516760380622837
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,0.5,0.5256024096385542,0.25118944636678203
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,0.0,0.5292168674698795,0.2522166955017301
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,1.0,0.5307228915662651,0.26286764705882354
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,1.0,0.5328313253012048,0.2510272491349481
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,0.5,0.5412650602409639,0.2528114186851211
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,0.0,0.5448795180722892,0.2532439446366782
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.1,1.5,0.5457831325301205,0.2521626297577855
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,0.5,0.5560240963855422,0.26897707612456745
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,1.0,0.5563253012048193,0.25405493079584773
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,0.5,0.5569277108433734,0.25421712802768165
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.05,1.5,0.569578313253012,0.25508217993079585
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,1.0,0.5725903614457831,0.25519031141868515
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.5,0.0,0.5825301204819278,0.27514057093425603
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,0.01,1.5,0.5909638554216867,0.2569744809688581
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,1.5,0.8283132530120482,0.3375865051903114
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,1.0,0.858132530120482,0.3446691176470588
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,0.5,0.8873493975903615,0.35121107266435986
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,1.0,0.0,0.9093373493975904,0.3552660034602076
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,1.5,0.9629518072289157,0.3661872837370242
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,1.0,0.9689759036144578,0.3672145328719723
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,0.5,0.971987951807229,0.3679173875432526
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,2.0,0.0,0.9786144578313253,0.36905276816608995
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,0.0,0.9996987951807229,0.3727833044982699
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,0.5,0.9996987951807229,0.3727833044982699
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,1.0,0.9996987951807229,0.3727833044982699
beam_lm,data/earnings22_test/manifest.csv,lm/financial-3gram.arpa.gz,10,1.0,5.0,1.5,0.9996987951807229,0.3727833044982699
